RANK,SCHOOL,PREVIOUS RANK
1,University of Alabama,1
2,Clemson,2
3,Notre Dame,3
4,Oklahoma,5
5,Georgia University,4
6,Ohio State,6
7,Michigan,7
8,Central Florida,8
9,Washington,11
10,Florida,9
11,Louisiana State University,10
12,Pennsylvania State,12
13,Washington State,13
14,Kentucky,15
15,Texas,14
16,West Virginia,16
17,University of Utah,17
18,Mississippi State,18
19,Texas A&M,19
20,Syracuse,20
21,"California State University, Fresno",25
22,Northwestern University,21
23,Missouri,24
24,Iowa State,23
25,Boise State,22